size_label,bytes_per_client,clients,total_bytes,iteration,elapsed_ms,throughput_mib_s
1KB,1024,1,1024,1,62.363,0.02
1KB,1024,1,1024,2,61.677,0.02
1KB,1024,1,1024,3,61.899,0.02
1KB,1024,1,1024,4,62.200,0.02
1KB,1024,1,1024,5,61.973,0.02
1MB,1048576,1,1048576,1,64.239,15.57
1MB,1048576,1,1048576,2,64.476,15.51
1MB,1048576,1,1048576,3,64.980,15.39
1MB,1048576,1,1048576,4,64.711,15.45
1MB,1048576,1,1048576,5,65.226,15.33
100MB,104857600,1,104857600,1,425.316,235.12
100MB,104857600,1,104857600,2,460.134,217.33
100MB,104857600,1,104857600,3,451.015,221.72
100MB,104857600,1,104857600,4,496.936,201.23
100MB,104857600,1,104857600,5,635.621,157.33
1KB,1024,4,4096,1,21.260,0.18
1KB,1024,4,4096,2,61.973,0.06
1KB,1024,4,4096,3,62.003,0.06
1KB,1024,4,4096,4,61.892,0.06
1KB,1024,4,4096,5,61.910,0.06
1MB,1048576,4,4194304,1,64.306,62.20
1MB,1048576,4,4194304,2,64.680,61.84
1MB,1048576,4,4194304,3,65.574,61.00
1MB,1048576,4,4194304,4,64.769,61.76
1MB,1048576,4,4194304,5,65.723,60.86
100MB,104857600,4,419430400,1,830.932,481.39
100MB,104857600,4,419430400,2,640.038,624.96
100MB,104857600,4,419430400,3,675.511,592.14
100MB,104857600,4,419430400,4,688.343,581.11
100MB,104857600,4,419430400,5,661.143,605.01
