size_label,bytes_per_client,clients,total_bytes,iteration,elapsed_ms,throughput_mib_s
1KB,1024,1,1024,1,2.960,0.33
1KB,1024,1,1024,2,2.159,0.45
1KB,1024,1,1024,3,2.289,0.43
1KB,1024,1,1024,4,2.213,0.44
1KB,1024,1,1024,5,2.577,0.38
1MB,1048576,1,1048576,1,56.069,17.84
1MB,1048576,1,1048576,2,50.275,19.89
1MB,1048576,1,1048576,3,33.468,29.88
1MB,1048576,1,1048576,4,56.502,17.70
1MB,1048576,1,1048576,5,54.492,18.35
100MB,104857600,1,104857600,1,2261.617,44.22
100MB,104857600,1,104857600,2,2102.134,47.57
100MB,104857600,1,104857600,3,2058.125,48.59
100MB,104857600,1,104857600,4,2121.683,47.13
100MB,104857600,1,104857600,5,2171.801,46.04
1KB,1024,4,4096,1,3.570,1.09
1KB,1024,4,4096,2,3.528,1.11
1KB,1024,4,4096,3,2.617,1.49
1KB,1024,4,4096,4,2.427,1.61
1KB,1024,4,4096,5,2.706,1.44
1MB,1048576,4,4194304,1,59.193,67.58
1MB,1048576,4,4194304,2,61.336,65.21
1MB,1048576,4,4194304,3,57.172,69.96
1MB,1048576,4,4194304,4,57.366,69.73
1MB,1048576,4,4194304,5,58.619,68.24
100MB,104857600,4,419430400,1,4917.578,81.34
100MB,104857600,4,419430400,2,4329.479,92.39
100MB,104857600,4,419430400,3,4351.207,91.93
100MB,104857600,4,419430400,4,4486.477,89.16
100MB,104857600,4,419430400,5,4761.067,84.01
