size_label,bytes_per_client,clients,total_bytes,iteration,elapsed_ms,throughput_mib_s
1KB,1024,1,1024,1,62.625,0.02
1KB,1024,1,1024,2,62.162,0.02
1KB,1024,1,1024,3,62.176,0.02
1KB,1024,1,1024,4,61.728,0.02
1KB,1024,1,1024,5,61.404,0.02
1MB,1048576,1,1048576,1,63.445,15.76
1MB,1048576,1,1048576,2,64.572,15.49
1MB,1048576,1,1048576,3,63.944,15.64
1MB,1048576,1,1048576,4,64.351,15.54
1MB,1048576,1,1048576,5,64.223,15.57
100MB,104857600,1,104857600,1,538.861,185.58
100MB,104857600,1,104857600,2,501.138,199.55
100MB,104857600,1,104857600,3,533.799,187.34
100MB,104857600,1,104857600,4,456.467,219.07
100MB,104857600,1,104857600,5,387.004,258.40
1KB,1024,4,4096,1,62.451,0.06
1KB,1024,4,4096,2,61.500,0.06
1KB,1024,4,4096,3,61.982,0.06
1KB,1024,4,4096,4,62.513,0.06
1KB,1024,4,4096,5,62.107,0.06
1MB,1048576,4,4194304,1,65.755,60.83
1MB,1048576,4,4194304,2,65.163,61.38
1MB,1048576,4,4194304,3,64.099,62.40
1MB,1048576,4,4194304,4,64.301,62.21
1MB,1048576,4,4194304,5,64.441,62.07
100MB,104857600,4,419430400,1,857.762,466.33
100MB,104857600,4,419430400,2,643.648,621.46
100MB,104857600,4,419430400,3,692.622,577.52
100MB,104857600,4,419430400,4,643.197,621.89
100MB,104857600,4,419430400,5,636.274,628.66
